Gene,score,was used in training,link to MGI
Dao1,0.53971,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Dao1
Tfg,0.5304,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Tfg
Capn2,0.52778,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Capn2
6430517E21Rik,0.52475,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=6430517E21Rik
A930006D11Rik,0.5222,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=A930006D11Rik
Scg3,0.51559,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Scg3
Degs1,0.51475,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Degs1
Elmo2,0.50072,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Elmo2
Rab1,0.49909,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Rab1
Thrap6,0.49439,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Thrap6
5730405I09Rik,0.49342,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=5730405I09Rik
Cables1,0.4927,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Cables1
Por,0.49233,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Por
Setd6,0.48941,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Setd6
Rbp1,0.48895,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Rbp1
BC002199,0.48643,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=BC002199
Asahl,0.4843,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Asahl
Mfge8,0.48411,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Mfge8
LOC432872,0.48239,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=LOC432872
Elovl6,0.47852,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Elovl6
Tmem64,0.47616,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Tmem64
Susd4,0.46885,FALSE,http://www.informatics.jax.org/searchtool/Search.do?query=Susd4
